,n_splits,metric,k_best_features,n_neighbors,Crossvalid run,Scores,Relative error
398,2,manhattan,12,5,3,"[0.6989795918367347, 0.718604134252056]",0.027309253426084
173,2,euclidean,12,5,3,"[0.6985359361135759, 0.718604134252056]",0.027926638857106
308,2,manhattan,6,5,3,"[0.6947648624667259, 0.715492331629251]",0.02896951965275
353,2,manhattan,9,5,3,"[0.7038598047914818, 0.7250500111135808]",0.029225854764906
128,2,euclidean,9,5,3,"[0.7040816326530612, 0.7254945543454101]",0.029514930972389
83,2,euclidean,6,5,3,"[0.6947648624667259, 0.7159368748610803]",0.029572456927104
23,2,euclidean,2,5,3,"[0.7105146406388643, 0.7359413202933985]",0.034549873683404
263,2,manhattan,3,5,3,"[0.6874445430346051, 0.7123805290064459]",0.035003744426618
248,2,manhattan,2,5,3,"[0.7100709849157054, 0.7359413202933985]",0.035152714848759
38,2,euclidean,3,5,3,"[0.6876663708961845, 0.7128250722382752]",0.035294355266001
293,2,manhattan,5,5,3,"[0.6889973380656611, 0.7161591464769949]",0.037927056499873
68,2,euclidean,5,5,3,"[0.6889973380656611, 0.7166036897088242]",0.038523875943732
383,2,manhattan,11,5,3,"[0.69698314108252, 0.7257168259613247]",0.039593521675266
158,2,euclidean,11,5,3,"[0.6965394853593612, 0.7257168259613247]",0.040204856161787
443,2,manhattan,15,5,3,"[0.6838952972493345, 0.7137141587019338]",0.041779837332683
218,2,euclidean,15,5,3,"[0.6834516415261757, 0.7137141587019338]",0.042401452747971
428,2,manhattan,14,5,3,"[0.6881100266193434, 0.7192709490997999]",0.043322926526444
203,2,euclidean,14,5,3,"[0.6874445430346051, 0.7192709490997999]",0.044248146133285
278,2,manhattan,4,5,3,"[0.6825643300798581, 0.7159368748610803]",0.046613809056417
53,2,euclidean,4,5,3,"[0.6825643300798581, 0.7163814180929096]",0.047205423199106
413,2,manhattan,13,5,3,"[0.6847826086956522, 0.7192709490997999]",0.047949024560649
188,2,euclidean,13,5,3,"[0.6843389529724934, 0.7192709490997999]",0.048565837631877
294,2,manhattan,5,5,4,"[0.7240461401952085, 0.7068237386085797]",0.024365907150391
69,2,euclidean,5,5,4,"[0.724267968056788, 0.7068237386085797]",0.024679744744493
279,2,manhattan,4,5,4,"[0.7244897959183674, 0.7068237386085797]",0.024993582338596
54,2,euclidean,4,5,4,"[0.7247116237799468, 0.7068237386085797]",0.025307419932698
174,2,euclidean,12,5,4,"[0.7191659272404614, 0.6992665036674817]",0.028457567277443
399,2,manhattan,12,5,4,"[0.7187222715173026, 0.6988219604356524]",0.028476940062451
429,2,manhattan,14,5,4,"[0.7180567879325643, 0.6974883307401645]",0.029489320875911
444,2,manhattan,15,5,4,"[0.7180567879325643, 0.6972660591242499]",0.029817497261271
204,2,euclidean,14,5,4,"[0.7185004436557232, 0.6974883307401645]",0.030125397070459
219,2,euclidean,15,5,4,"[0.7185004436557232, 0.6972660591242499]",0.030453776221581
264,2,manhattan,3,5,4,"[0.7282608695652174, 0.7061569237608357]",0.031301747615333
414,2,manhattan,13,5,4,"[0.7180567879325643, 0.695932429428762]",0.031790957811756
39,2,euclidean,3,5,4,"[0.7287045252883763, 0.7061569237608357]",0.031930015509098
189,2,euclidean,13,5,4,"[0.7185004436557232, 0.6961547010446766]",0.03209881737136
309,2,manhattan,6,5,4,"[0.7218278615794144, 0.6985996888197378]",0.033249617959206
84,2,euclidean,6,5,4,"[0.7220496894409938, 0.6985996888197378]",0.033567150109778
369,2,manhattan,10,5,4,"[0.7273735581188997, 0.6999333185152256]",0.039204076842468
144,2,euclidean,10,5,4,"[0.728039041703638, 0.7001555901311403]",0.039824650357037
384,2,manhattan,11,5,4,"[0.7278172138420586, 0.6988219604356524]",0.041491617390401
159,2,euclidean,11,5,4,"[0.7284826974267968, 0.6992665036674817]",0.041781200166293
114,2,euclidean,8,5,4,"[0.7271517302573203, 0.6979328739719938]",0.041864851728562
339,2,manhattan,8,5,4,"[0.7271517302573203, 0.6977106023560792]",0.042196761525226
99,2,euclidean,7,5,4,"[0.7273735581188997, 0.6970437875083352]",0.043512001905909
324,2,manhattan,7,5,4,"[0.7273735581188997, 0.6968215158924206]",0.043844860598702
129,2,euclidean,9,5,4,"[0.7287045252883763, 0.6977106023560792]",0.044422318978147
354,2,manhattan,9,5,4,"[0.7287045252883763, 0.6974883307401645]",0.044755149545062
249,2,manhattan,2,5,4,"[0.7369121561668146, 0.695932429428762]",0.058884634492015
24,2,euclidean,2,5,4,"[0.7371339840283939, 0.695932429428762]",0.05920338362943
234,2,manhattan,1,5,4,"[0.751109139307897, 0.679484329851078]",0.105410539007599
9,2,euclidean,1,5,4,"[0.751109139307897, 0.679484329851078]",0.105410539007599
175,2,euclidean,12,10,0,"[0.7497781721384206, 0.7499444320960214]",0.000221696369071
190,2,euclidean,13,10,0,"[0.7497781721384206, 0.7499444320960214]",0.000221696369071
205,2,euclidean,14,10,0,"[0.7497781721384206, 0.7506112469437652]",0.001109861874221
220,2,euclidean,15,10,0,"[0.7497781721384206, 0.7506112469437652]",0.001109861874221
55,2,euclidean,4,10,0,"[0.75, 0.75083351855968]",0.001110124333925
280,2,manhattan,4,10,0,"[0.75, 0.75083351855968]",0.001110124333925
400,2,manhattan,12,10,0,"[0.748890860692103, 0.7499444320960214]",0.001404865959167
